Source URL,Source Title,Top 1 URL,Top 1 Title,Top 1 Score,Top 2 URL,Top 2 Title,Top 2 Score,Top 3 URL,Top 3 Title,Top 3 Score,Top 4 URL,Top 4 Title,Top 4 Score,Top 5 URL,Top 5 Title,Top 5 Score
https://www.mgmresorts.com/en.html,MGM Resorts International | Global Gaming and Entertainment Company,https://www.mgmresorts.com/en/destinations.html,"Resorts, Hotels, Las Vegas & Worldwide | MGM Resorts International",0.268,https://www.mgmresorts.com/en/casino.html,"Las Vegas Casinos | Poker, Blackjack, Slot Machines | Casino Worldwide",0.209,https://www.mgmresorts.com/en/casino/sportsbooks/betmgm-sportsbooks.html,BetMGM Sportsbooks,0.195,https://www.mgmresorts.com/en/restaurants.html,"Restaurants, Buffets, & Private Dining | Las Vegas Restaurants | MGM Resorts",0.164,https://www.mgmresorts.com/en/faq.html,Frequently Asked Questions,0.103
https://www.mgmresorts.com/en/mgm-rewards/preferred-partners/royal-caribbean-and-celebrity-cruises.html,Royal Caribbean International & Celebrity Cruises,https://www.mgmresorts.com/en/entertainment/t-mobile-arena/summer-walker.html,Summer Walker: Still Finally Over It Tour,0.162,https://www.mgmresorts.com/policies/terms-of-use.html,Terms of Use,0.159,https://www.mgmresorts.com/en/things-to-do/gift-cards.html,Gift Cards,0.155,https://www.mgmresorts.com/en/offers/new-kids-on-the-block-vip-experiences.html,New Kids On The Block VIP Luxe Packages,0.101,https://www.mgmresorts.com/en/groups-and-weddings/mgm-resorts-event-productions.html,MGM Resorts Event Productions,0.081
https://www.mgmresorts.com/en/things-to-do/spas.html,Spas Las Vegas,https://www.mgmresorts.com/en/things-to-do/shopping.html,Best Shopping on Las Vegas Strip,0.340,https://www.mgmresorts.com/en/things-to-do.html,"Pools, Nightclubs, Attractions | Things To Do In Las Vegas | MGM Resorts",0.318,https://www.mgmresorts.com/en/things-to-do/pools.html,Hotels With Pools | Pool Cabanas | MGM Resorts International,0.292,https://www.mgmresorts.com/en/things-to-do/golf.html,Golf Courses in Las Vegas,0.169,https://www.mgmresorts.com/en/things-to-do/clubs.html,"Las Vegas Clubs, Bars, and Lounges",0.161
https://www.mgmresorts.com/en/groups-and-weddings/meetings.html,Meetings,https://www.mgmresorts.com/en/groups-and-weddings/sports-tourism.html,Sports Tourism at MGM Resorts,0.511,https://www.mgmresorts.com/en/groups-and-weddings/weddings-and-events.html,Weddings & Events at MGM Resorts,0.357,https://www.mgmresorts.com/en/groups-and-weddings/meetings/meeting-and-event-services-.html,Meeting and Event Services,0.333,https://www.mgmresorts.com/en/groups-and-weddings/unique-venues.html,Unique Venues,0.263,https://www.mgmresorts.com/en/groups-and-weddings/groups-and-events.html,Groups and Events,0.248
https://www.mgmresorts.com/en/things-to-do/golf.html,Golf Courses in Las Vegas,https://www.mgmresorts.com/en/things-to-do/clubs.html,"Las Vegas Clubs, Bars, and Lounges",0.194,https://www.mgmresorts.com/en/entertainment.html,"Entertainment, Concerts, Shows in Las Vegas | Shows & Concerts in US",0.174,https://www.mgmresorts.com/en/things-to-do/spas.html,Spas Las Vegas,0.169,https://www.mgmresorts.com/en/things-to-do.html,"Pools, Nightclubs, Attractions | Things To Do In Las Vegas | MGM Resorts",0.156,https://www.mgmresorts.com/en/things-to-do/pools.html,Hotels With Pools | Pool Cabanas | MGM Resorts International,0.144
https://www.mgmresorts.com/en/casino/table-games.html,Casino Table Games,https://www.mgmresorts.com/en/casino/poker.html,"Poker - Rules, Tables, & Tournaments",0.357,https://www.mgmresorts.com/en/casino/slots.html,"Slots - Rules, Machines, Tournaments",0.318,https://www.mgmresorts.com/en/casino.html,"Las Vegas Casinos | Poker, Blackjack, Slot Machines | Casino Worldwide",0.300,https://www.mgmresorts.com/en/casino/omnigaming.html,Omnichannel Games - Introducing MGM Riches and So Much More,0.216,https://www.mgmresorts.com/en/gamesense.html,GameSense,0.088
https://www.mgmresorts.com/en/mgm-rewards/earn.html,MGM Rewards - What You Can (and Cannot) Earn On,https://www.mgmresorts.com/en/mgm-rewards/program-rules.html,Program Rules,0.433,https://www.mgmresorts.com/en/mgm-rewards/tiers.html,MGM Rewards Tier Benefits,0.339,https://www.mgmresorts.com/en/mgm-rewards.html,MGM Rewards | Loyalty Program | Earn Points & Special Discounts,0.206,https://www.mgmresorts.com/en/leasing-and-operating-partnership-opportunities.html,Leasing & Operating Partnership Opportunities,0.123,https://www.mgmresorts.com/en/app.html,MGM Rewards Mobile App | Mobile Check In & Digital Room Key | Download MGM App,0.117
https://www.mgmresorts.com/en/mgm-rewards.html,MGM Rewards | Loyalty Program | Earn Points & Special Discounts,https://www.mgmresorts.com/en/app.html,MGM Rewards Mobile App | Mobile Check In & Digital Room Key | Download MGM App,0.393,https://www.mgmresorts.com/en/offers/military.html,Las Vegas Military Discounts,0.327,https://www.mgmresorts.com/en/mgm-rewards/tiers.html,MGM Rewards Tier Benefits,0.300,https://www.mgmresorts.com/en/mgm-rewards/earn.html,MGM Rewards - What You Can (and Cannot) Earn On,0.206,https://www.mgmresorts.com/en/mgm-rewards/program-rules.html,Program Rules,0.198
https://www.mgmresorts.com/en/casino/sportsbooks.html,BetMGM,https://www.mgmresorts.com/en/casino/sportsbooks/betmgm-sportsbooks.html,BetMGM Sportsbooks,0.363,https://www.mgmresorts.com/en/casino/omnigaming.html,Omnichannel Games - Introducing MGM Riches and So Much More,0.157,https://www.mgmresorts.com/en/gamesense.html,GameSense,0.078,https://www.mgmresorts.com/en/casino/slots/mgm-resorts-slot-series.html,MGM Resorts Slot Series,0.075,https://www.mgmresorts.com/en/things-to-do/the-fan-district.html,The Fan District,0.071
https://www.mgmresorts.com/en/groups-and-weddings/weddings-and-events.html,Weddings & Events at MGM Resorts,https://www.mgmresorts.com/en/groups-and-weddings/mgm-resorts-event-productions.html,MGM Resorts Event Productions,0.453,https://www.mgmresorts.com/en/groups-and-weddings/unique-venues.html,Unique Venues,0.422,https://www.mgmresorts.com/en/groups-and-weddings/meetings.html,Meetings,0.357,https://www.mgmresorts.com/en/groups-and-weddings/groups-and-events.html,Groups and Events,0.265,https://www.mgmresorts.com/en/groups-and-weddings/sustainable-events.html,Sustainable Events,0.253
https://www.mgmresorts.com/en/mgm-rewards/preferred-partners/marriott.html,MGM Collection with Marriott Bonvoy,https://www.mgmresorts.com/en/app.html,MGM Rewards Mobile App | Mobile Check In & Digital Room Key | Download MGM App,0.106,https://www.mgmresorts.com/en/groups-and-weddings/groups-and-events.html,Groups and Events,0.104,https://www.mgmresorts.com/en/offers/new-kids-on-the-block-vip-experiences.html,New Kids On The Block VIP Luxe Packages,0.089,https://www.mgmresorts.com/en/leasing-and-operating-partnership-opportunities.html,Leasing & Operating Partnership Opportunities,0.086,https://www.mgmresorts.com/en/casino/omnigaming.html,Omnichannel Games - Introducing MGM Riches and So Much More,0.085
https://www.mgmresorts.com/en/groups-and-weddings/groups-and-events.html,Groups and Events,https://www.mgmresorts.com/en/groups-and-weddings/unique-venues.html,Unique Venues,0.269,https://www.mgmresorts.com/en/groups-and-weddings/weddings-and-events.html,Weddings & Events at MGM Resorts,0.265,https://www.mgmresorts.com/en/groups-and-weddings/meetings.html,Meetings,0.248,https://www.mgmresorts.com/en/groups-and-weddings/mgm-resorts-event-productions.html,MGM Resorts Event Productions,0.226,https://www.mgmresorts.com/en/groups-and-weddings/sports-tourism.html,Sports Tourism at MGM Resorts,0.199
https://www.mgmresorts.com/en/things-to-do/clubs.html,"Las Vegas Clubs, Bars, and Lounges",https://www.mgmresorts.com/en/things-to-do.html,"Pools, Nightclubs, Attractions | Things To Do In Las Vegas | MGM Resorts",0.387,https://www.mgmresorts.com/en/things-to-do/pools.html,Hotels With Pools | Pool Cabanas | MGM Resorts International,0.209,https://www.mgmresorts.com/en/things-to-do/golf.html,Golf Courses in Las Vegas,0.194,https://www.mgmresorts.com/en/restaurants.html,"Restaurants, Buffets, & Private Dining | Las Vegas Restaurants | MGM Resorts",0.193,https://www.mgmresorts.com/en/entertainment.html,"Entertainment, Concerts, Shows in Las Vegas | Shows & Concerts in US",0.166
